Recording timestamp	Computer timestamp	Sensor	Participant name	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Pupil diameter filtered	Eye openness left	Eye openness right	Eye openness filtered	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point left X (DACSmm)	Gaze point left Y (DACSmm)	Gaze point right X (DACSmm)	Gaze point right Y (DACSmm)	Presented Stimulus name
378926520	2957438543	Eye Tracker	MN	0,09808	0,00715	-0,99515	-0,00656	0,04047	-0,99916	2,514	2,670	2,580	7,504	6,941	7,223	Valid	Valid	238,7	104,4	634,6	303,8	103,7	634,4	301,2	108,9	299,6	129,4	long blinks
378934853	2957446876	Eye Tracker	MN	0,09674	0,01100	-0,99525	-0,00511	0,03749	-0,99928	2,496	2,672	2,580	7,628	6,862	7,245	Valid	Valid	238,8	104,6	634,0	303,8	103,7	634,6	300,4	111,6	300,6	127,6	long blinks
378943186	2957455209	Eye Tracker	MN	0,09309	0,00852	-0,99562	-0,00798	0,03127	-0,99948	2,472	2,622	2,560	7,433	7,055	7,244	Valid	Valid	238,9	104,5	634,4	303,9	103,8	634,5	298,2	109,9	298,9	123,6	long blinks
378951520	2957463543	Eye Tracker	MN	0,10207	0,01734	-0,99463	-0,00627	0,02942	-0,99955	2,495	2,625	2,550	7,430	6,924	7,177	Valid	Valid	238,9	104,5	634,5	304,0	103,8	634,5	304,0	115,5	300,0	122,5	long blinks
378959853	2957471876	Eye Tracker	MN	0,09461	0,00934	-0,99547	-0,00270	0,02353	-0,99972	2,474	2,601	2,550	7,474	6,889	7,182	Valid	Valid	239,0	104,6	634,0	304,1	103,8	634,6	299,3	110,6	302,4	118,7	long blinks
378968186	2957480209	Eye Tracker	MN	0,09731	0,01369	-0,99516	0,00043	0,02002	-0,99980	2,478	2,618	2,548	7,467	7,010	7,239	Valid	Valid	239,1	104,4	634,6	304,1	103,8	634,7	301,1	113,2	304,4	116,5	long blinks
378976521	2957488544	Eye Tracker	MN	0,10105	0,01067	-0,99482	-0,00934	0,03553	-0,99933	2,481	2,673	2,548	7,468	6,862	7,165	Valid	Valid	239,1	104,4	634,7	304,2	103,8	634,5	303,6	111,2	298,3	126,4	long blinks
378984857	2957496880	Eye Tracker	MN	0,09979	0,00699	-0,99498	-0,00484	0,02433	-0,99969	2,478	2,618	2,550	7,441	6,842	7,142	Valid	Valid	239,2	104,5	634,2	304,3	103,9	634,4	302,8	109,0	301,2	119,3	long blinks
378993190	2957505213	Eye Tracker	MN	0,09380	0,00983	-0,99554	-0,00209	0,03034	-0,99954	2,496	2,633	2,553	7,363	6,826	7,094	Valid	Valid	239,3	104,5	634,1	304,3	103,8	634,6	299,0	110,8	303,0	123,0	long blinks
379001523	2957513546	Eye Tracker	MN	0,09379	0,01161	-0,99552	-0,00458	0,02146	-0,99976	2,513	2,607	2,553	7,468	6,883	7,175	Valid	Valid	239,3	104,5	634,4	304,4	103,8	634,7	299,1	111,8	301,5	117,4	long blinks
379009857	2957521880	Eye Tracker	MN	0,09729	0,00884	-0,99522	-0,00708	0,02844	-0,99957	2,474	2,624	2,548	7,391	6,930	7,161	Valid	Valid	239,3	104,4	634,4	304,4	103,8	634,5	301,4	110,0	299,9	121,9	long blinks
379018190	2957530213	Eye Tracker	MN	0,09677	0,00930	-0,99526	-0,00151	0,01395	-0,99990	2,489	2,585	2,544	7,391	6,817	7,104	Valid	Valid	239,4	104,4	634,4	304,5	103,9	634,4	301,1	110,4	303,5	112,8	long blinks
379026525	2957538548	Eye Tracker	MN	0,09560	0,01177	-0,99535	-0,00488	0,02000	-0,99979	2,483	2,606	2,542	7,345	6,911	7,128	Valid	Valid	239,4	104,5	634,1	304,5	103,9	634,4	300,3	112,0	301,4	116,6	long blinks
379034857	2957546880	Eye Tracker	MN	0,09352	0,00598	-0,99560	-0,00453	0,01456	-0,99988	2,477	2,592	2,544	7,481	6,774	7,128	Valid	Valid	239,5	104,6	634,0	304,6	103,9	634,6	299,0	108,4	301,7	113,1	long blinks
379043191	2957555214	Eye Tracker	MN	0,09249	0,00626	-0,99569	-0,00685	0,01357	-0,99988	2,480	2,605	2,544	7,458	6,804	7,131	Valid	Valid	239,5	104,4	634,3	304,6	103,8	634,6	298,4	108,4	300,3	112,4	long blinks
379051522	2957563545	Eye Tracker	MN	0,09763	0,00915	-0,99518	-0,00662	0,01335	-0,99989	2,495	2,607	2,544	7,454	6,815	7,134	Valid	Valid	239,6	104,4	634,3	304,7	103,9	634,6	301,8	110,3	300,5	112,4	long blinks
379059857	2957571880	Eye Tracker	MN	0,09933	0,01595	-0,99493	-0,00617	0,01320	-0,99989	2,495	2,599	2,547	7,519	6,820	7,170	Valid	Valid	239,6	104,4	634,2	304,7	103,9	634,3	302,9	114,6	300,8	112,3	long blinks
379068189	2957580212	Eye Tracker	MN	0,09573	0,01247	-0,99533	-0,00416	0,01656	-0,99985	2,489	2,596	2,544	7,238	6,790	7,014	Valid	Valid	239,6	104,5	634,0	304,7	103,9	634,5	300,6	112,5	302,1	114,4	long blinks
379076524	2957588547	Eye Tracker	MN	0,09774	0,00967	-0,99517	-0,00331	0,02210	-0,99975	2,483	2,608	2,544	7,516	6,805	7,161	Valid	Valid	239,7	104,5	633,9	304,8	103,8	634,5	301,9	110,7	302,7	117,8	long blinks
379084856	2957596879	Eye Tracker	MN	0,09597	0,00830	-0,99535	-0,00712	0,02165	-0,99974	2,488	2,600	2,544	7,217	7,134	7,175	Valid	Valid	239,7	104,5	634,1	304,8	103,8	634,6	300,9	109,8	300,3	117,5	long blinks
379093189	2957605212	Eye Tracker	MN	0,09308	0,01220	-0,99558	-0,00555	0,02581	-0,99965	2,487	2,598	2,543	7,445	6,817	7,131	Valid	Valid	239,8	104,4	634,4	304,8	103,8	634,4	299,1	112,1	301,3	120,2	long blinks
379101523	2957613546	Eye Tracker	MN	0,08980	0,00973	-0,99591	-0,00513	0,02716	-0,99962	2,497	2,607	2,543	7,417	7,053	7,235	Valid	Valid	239,8	104,4	634,3	304,9	103,9	634,4	297,0	110,6	301,6	121,1	long blinks
379109860	2957621883	Eye Tracker	MN	0,09547	0,01138	-0,99537	-0,00637	0,01946	-0,99979	2,487	2,587	2,546	7,496	6,821	7,159	Valid	Valid	239,8	104,5	634,0	304,9	103,8	634,5	300,6	111,7	300,9	116,2	long blinks
379118193	2957630216	Eye Tracker	MN	0,09649	0,01443	-0,99523	-0,00368	0,01738	-0,99984	2,483	2,605	2,547	7,456	6,880	7,168	Valid	Valid	239,9	104,5	633,9	305,0	103,9	634,5	301,3	113,7	302,6	114,9	long blinks
379126526	2957638549	Eye Tracker	MN	0,07359	0,01503	-0,99718	-0,02808	0,03998	-0,99881	2,453	2,611	2,549	7,334	6,828	7,081	Valid	Valid	239,8	104,5	634,4	304,9	103,8	634,7	286,6	114,1	287,1	129,2	long blinks
379134860	2957646883	Eye Tracker	MN	0,03905	0,04371	-0,99828	-0,05640	0,06876	-0,99604	2,498	2,694	2,588	7,412	6,924	7,168	Valid	Valid	239,8	104,6	634,4	304,8	104,0	634,6	264,6	132,4	268,9	147,8	long blinks
379143193	2957655216	Eye Tracker	MN	0,06258	0,04862	-0,99685	-0,05355	0,07503	-0,99574	2,492	2,726	2,588	7,370	6,758	7,064	Valid	Valid	239,8	104,7	634,4	304,9	104,0	634,9	279,6	135,6	270,7	151,8	long blinks
379151528	2957663551	Eye Tracker	MN	0,05837	0,03752	-0,99759	-0,03505	0,07390	-0,99665	2,481	2,743	2,590	7,475	6,863	7,169	Valid	Valid	239,9	104,8	634,0	304,9	104,1	634,5	277,0	128,7	282,6	151,2	long blinks
379159861	2957671884	Eye Tracker	MN	0,05252	0,03472	-0,99802	-0,04698	0,05490	-0,99739	2,462	2,645	2,584	7,651	6,896	7,273	Valid	Valid	239,9	104,9	633,8	305,0	104,3	634,1	273,3	127,0	275,1	139,2	long blinks
379168194	2957680217	Eye Tracker	MN	0,05504	0,03008	-0,99803	-0,04834	0,07422	-0,99607	2,469	2,699	2,574	7,487	6,851	7,169	Valid	Valid	240,0	104,7	634,3	305,1	104,2	634,5	274,9	123,8	274,3	151,4	long blinks
379176528	2957688551	Eye Tracker	MN	0,05387	0,03390	-0,99797	-0,04596	0,05567	-0,99739	2,469	2,637	2,557	7,404	6,815	7,110	Valid	Valid	240,0	104,8	634,4	305,1	104,3	634,5	274,3	126,3	275,9	139,7	long blinks
379184861	2957696884	Eye Tracker	MN	0,05526	0,04622	-0,99740	-0,05144	0,07362	-0,99596	2,491	2,678	2,574	7,408	6,743	7,075	Valid	Valid	240,1	104,8	633,8	305,2	104,3	634,2	275,2	134,2	272,4	151,2	long blinks
379193194	2957705217	Eye Tracker	MN	0,05378	0,04988	-0,99731	-0,05149	0,06137	-0,99679	2,520	2,635	2,574	7,455	6,827	7,141	Valid	Valid	240,2	104,8	634,0	305,2	104,3	634,3	274,4	136,5	272,5	143,3	long blinks
379201527	2957713550	Eye Tracker	MN	0,05244	0,03049	-0,99816	-0,04714	0,07417	-0,99613	2,468	2,706	2,588	7,365	6,766	7,065	Valid	Valid	240,2	104,6	634,2	305,3	104,1	634,6	273,5	124,0	275,3	151,4	long blinks
379209861	2957721884	Eye Tracker	MN	0,04852	0,01942	-0,99863	-0,04900	0,06819	-0,99647	2,400	2,685	2,593	7,338	6,758	7,048	Valid	Valid	240,3	104,7	634,1	305,3	104,3	634,3	271,1	117,0	274,2	147,7	long blinks
379218193	2957730216	Eye Tracker	MN	0,05806	0,05703	-0,99668	-0,05044	0,07290	-0,99606	2,545	2,687	2,602	7,545	6,917	7,231	Valid	Valid	240,3	104,8	633,7	305,4	104,4	634,0	277,2	141,1	273,3	150,8	long blinks
379226527	2957738550	Eye Tracker	MN	0,05671	0,04682	-0,99729	-0,05310	0,08105	-0,99529	2,499	2,733	2,614	7,240	6,689	6,964	Valid	Valid	240,3	104,9	633,5	305,4	104,4	634,0	276,4	134,6	271,6	156,0	long blinks
379234861	2957746884	Eye Tracker	MN	0,05765	0,06224	-0,99639	-0,05311	0,08042	-0,99534	2,554	2,720	2,614	7,173	6,991	7,082	Valid	Valid	240,4	104,8	633,5	305,4	104,4	634,0	277,0	144,4	271,6	155,6	long blinks
379243196	2957755219	Eye Tracker	MN	0,05944	0,05057	-0,99695	-0,05181	0,07479	-0,99585	2,534	2,694	2,614	7,228	6,747	6,987	Valid	Valid	240,4	104,9	633,5	305,4	104,3	634,1	278,1	137,0	272,4	152,0	long blinks
379251529	2957763552	Eye Tracker	MN	0,05642	0,05184	-0,99706	-0,04931	0,06813	-0,99646	2,531	2,675	2,606	6,897	6,757	6,827	Valid	Valid	240,4	104,9	633,6	305,4	104,4	634,2	276,2	137,8	274,0	147,8	long blinks
379259863	2957771886	Eye Tracker	MN	0,05165	0,04883	-0,99747	-0,04747	0,04807	-0,99772	2,536	2,636	2,606	7,140	6,510	6,825	Valid	Valid	240,4	105,0	633,6	305,4	104,5	634,1	273,2	136,0	275,2	135,0	long blinks
379268196	2957780219	Eye Tracker	MN	0,05307	0,04861	-0,99741	-0,04843	0,06170	-0,99692	2,526	2,678	2,606	7,347	6,692	7,020	Valid	Valid	240,3	105,0	633,7	305,3	104,5	634,0	274,0	135,9	274,5	143,8	long blinks
379276529	2957788552	Eye Tracker	MN	0,05467	0,05998	-0,99670	-0,05109	0,06607	-0,99651	2,574	2,721	2,598	7,189	6,512	6,850	Valid	Valid	240,2	104,9	634,0	305,3	104,5	634,2	275,0	143,0	272,8	146,5	long blinks
379284863	2957796886	Eye Tracker	MN	0,05614	0,05515	-0,99690	-0,05148	0,05918	-0,99692	2,565	2,659	2,601	6,914	6,862	6,888	Valid	Valid	240,2	104,9	634,0	305,3	104,4	634,4	275,9	139,9	272,6	142,0	long blinks
379293195	2957805218	Eye Tracker	MN	0,05118	0,04718	-0,99757	-0,04793	0,05929	-0,99709	2,531	2,648	2,601	7,246	6,857	7,052	Valid	Valid	240,2	105,0	633,6	305,2	104,4	634,2	272,7	135,0	274,8	142,1	long blinks
379301528	2957813551	Eye Tracker	MN	0,04620	0,04479	-0,99793	-0,05413	0,06709	-0,99628	2,499	2,672	2,594	7,202	6,564	6,883	Valid	Valid	240,1	105,0	633,5	305,2	104,4	634,1	269,4	133,5	270,7	147,1	long blinks
379309862	2957821885	Eye Tracker	MN	0,05329	0,04325	-0,99764	-0,04752	0,07080	-0,99636	2,500	2,707	2,588	7,228	6,640	6,934	Valid	Valid	240,0	104,9	633,9	305,1	104,4	634,1	273,9	132,4	274,9	149,5	long blinks
379318195	2957830218	Eye Tracker	MN	0,05523	0,05098	-0,99717	-0,04759	0,05996	-0,99707	2,528	2,637	2,586	7,222	6,522	6,872	Valid	Valid	240,0	104,9	634,0	305,1	104,3	634,2	275,1	137,3	274,8	142,5	long blinks
379326527	2957838550	Eye Tracker	MN	0,04166	0,06606	-0,99695	-0,05675	0,06556	-0,99623	2,602	2,642	2,618	7,218	6,615	6,917	Valid	Valid	239,9	105,0	633,6	305,0	104,4	634,1	266,4	147,0	268,9	146,1	long blinks
379334862	2957846885	Eye Tracker	MN	0,04527	0,02202	-0,99873	-0,05385	0,07679	-0,99559	2,404	2,709	2,615	7,240	6,532	6,886	Valid	Valid	239,9	105,0	633,5	305,0	104,4	634,0	268,6	119,0	270,7	153,3	long blinks
379343195	2957855218	Eye Tracker	MN	0,04734	0,05446	-0,99739	-0,05554	0,08137	-0,99514	2,547	2,731	2,628	7,157	6,700	6,929	Valid	Valid	239,9	105,0	633,4	305,0	104,4	633,9	270,0	139,6	269,6	156,2	long blinks
