Recording timestamp	Computer timestamp	Sensor	Participant name	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Pupil diameter filtered	Eye openness left	Eye openness right	Eye openness filtered	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point left X (DACSmm)	Gaze point left Y (DACSmm)	Gaze point right X (DACSmm)	Gaze point right Y (DACSmm)	Presented Stimulus name
112361685	2690873708	Eye Tracker	MN	0,03230	-0,00207	-0,99948	-0,07139	0,01084	-0,99739	2,431	2,592	2,542	10,493	10,475	10,484	Valid	Valid	233,7	106,1	627,7	298,8	105,5	627,7	254,0	104,8	253,9	112,3	partial blink
112370018	2690882041	Eye Tracker	MN	0,02849	0,00416	-0,99959	-0,07010	0,03831	-0,99680	2,436	2,711	2,531	10,692	10,263	10,478	Valid	Valid	233,7	106,1	627,6	298,9	105,5	627,6	251,6	108,7	254,7	129,6	partial blink
112378351	2690890374	Eye Tracker	MN	0,03305	0,01155	-0,99939	-0,06928	0,01004	-0,99755	2,439	2,604	2,518	10,856	10,796	10,826	Valid	Valid	233,8	106,1	627,7	298,9	105,3	628,1	254,5	113,3	255,3	111,7	partial blink
112386683	2690898706	Eye Tracker	MN	0,03654	0,00420	-0,99932	-0,06781	0,01747	-0,99755	2,421	2,627	2,513	10,786	10,167	10,476	Valid	Valid	233,8	106,0	627,7	299,0	105,3	628,1	256,8	108,6	256,3	116,3	partial blink
112395018	2690907041	Eye Tracker	MN	0,03275	-0,00293	-0,99946	-0,06870	0,01235	-0,99756	2,418	2,601	2,513	10,725	10,802	10,764	Valid	Valid	233,9	106,1	627,6	299,0	105,4	627,9	254,4	104,3	255,8	113,2	partial blink
112403351	2690915374	Eye Tracker	MN	0,03549	0,00696	-0,99935	-0,06709	0,01381	-0,99765	2,410	2,588	2,512	10,821	11,232	11,027	Valid	Valid	233,9	106,0	627,6	299,1	105,4	627,8	256,2	110,4	256,9	114,1	partial blink
112411684	2690923707	Eye Tracker	MN	0,03593	0,00773	-0,99932	-0,06684	0,01216	-0,99769	2,426	2,606	2,515	10,617	10,292	10,455	Valid	Valid	234,0	106,1	627,5	299,2	105,4	627,9	256,6	111,0	257,1	113,1	partial blink
112420017	2690932040	Eye Tracker	MN	0,03416	0,00597	-0,99940	-0,06828	0,01022	-0,99761	2,433	2,603	2,516	10,688	10,346	10,517	Valid	Valid	234,1	106,1	627,6	299,2	105,4	627,9	255,5	109,8	256,3	111,9	partial blink
112428350	2690940373	Eye Tracker	MN	0,03190	0,00902	-0,99945	-0,06813	0,00663	-0,99765	2,442	2,604	2,519	10,798	10,268	10,533	Valid	Valid	234,1	106,1	627,5	299,3	105,5	627,9	254,2	111,8	256,4	109,7	partial blink
112436683	2690948706	Eye Tracker	MN	0,03637	0,00786	-0,99931	-0,06982	0,01617	-0,99743	2,428	2,634	2,521	10,644	10,939	10,792	Valid	Valid	234,2	106,1	627,4	299,4	105,5	627,8	257,0	111,1	255,4	115,7	partial blink
112445017	2690957040	Eye Tracker	MN	0,03507	0,00718	-0,99936	-0,07091	0,00523	-0,99747	2,433	2,610	2,520	10,641	10,423	10,532	Valid	Valid	234,2	106,1	627,5	299,4	105,5	627,8	256,3	110,6	254,8	108,8	partial blink
112453350	2690965373	Eye Tracker	MN	0,02959	0,00458	-0,99955	-0,06515	0,00874	-0,99784	2,397	2,613	2,520	10,798	11,303	11,050	Valid	Valid	234,3	106,0	627,6	299,5	105,5	627,9	252,9	108,9	258,5	111,0	partial blink
112461683	2690973706	Eye Tracker	MN	0,03399	0,00418	-0,99941	-0,06717	0,01146	-0,99768	2,414	2,627	2,521	10,806	10,388	10,597	Valid	Valid	234,3	106,0	627,7	299,5	105,5	627,8	255,7	108,6	257,3	112,7	partial blink
