Recording timestamp	Computer timestamp	Sensor	Participant name	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Pupil diameter filtered	Eye openness left	Eye openness right	Eye openness filtered	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point left X (DACSmm)	Gaze point left Y (DACSmm)	Gaze point right X (DACSmm)	Gaze point right Y (DACSmm)	Presented Stimulus name
310058159	2888570182	Eye Tracker	MN	0,03014	0,10610	-0,99390	-0,07573	0,10515	-0,99157	2,525	2,626	2,581	7,974	7,281	7,628	Valid	Valid	238,9	106,5	633,6	304,0	105,7	634,8	258,1	174,1	255,5	173,0	squint
310066493	2888578516	Eye Tracker	MN	0,02557	0,10507	-0,99414	-0,07768	0,09207	-0,99272	2,540	2,602	2,578	7,925	7,166	7,546	Valid	Valid	238,9	106,5	633,8	304,0	105,9	634,6	255,2	173,5	254,4	164,8	squint
310074826	2888586849	Eye Tracker	MN	0,02272	0,10838	-0,99385	-0,07953	0,11052	-0,99069	2,537	2,629	2,573	7,807	6,711	7,259	Valid	Valid	239,0	106,5	633,7	304,1	106,0	634,3	253,5	175,6	253,1	176,7	squint
310083159	2888595182	Eye Tracker	MN	0,02421	0,10445	-0,99424	-0,07662	0,10488	-0,99153	2,531	2,610	2,569	7,880	6,973	7,427	Valid	Valid	239,1	106,5	633,7	304,1	105,9	634,4	254,5	173,1	255,1	173,0	squint
310091492	2888603515	Eye Tracker	MN	0,02917	0,10990	-0,99351	-0,08126	0,09596	-0,99206	2,571	2,602	2,566	7,774	7,005	7,389	Valid	Valid	239,1	106,5	633,7	304,2	105,8	634,8	257,7	176,6	252,2	167,2	squint
310099826	2888611849	Eye Tracker	MN	0,02682	0,10427	-0,99419	-0,07877	0,10088	-0,99178	2,526	2,602	2,566	7,783	7,006	7,395	Valid	Valid	239,1	106,5	633,8	304,2	105,9	634,7	256,2	173,0	253,8	170,4	squint
310108159	2888620182	Eye Tracker	MN	0,02556	0,10483	-0,99416	-0,08038	0,07594	-0,99387	2,521	2,506	2,577	7,672	6,998	7,335	Valid	Valid	239,2	106,5	633,8	304,2	105,9	634,5	255,5	173,3	252,9	154,4	squint
310116493	2888628516	Eye Tracker	MN	0,03696	0,10334	-0,99396	-0,06188	0,10153	-0,99291	2,551	2,611	2,568	7,716	7,040	7,378	Valid	Valid	239,3	106,5	633,6	304,4	105,8	634,7	262,8	172,3	264,8	170,7	squint
310124826	2888636849	Eye Tracker	MN	0,07500	0,09014	-0,99310	-0,01852	0,09354	-0,99544	2,557	2,661	2,585	7,794	7,060	7,427	Valid	Valid	239,5	106,4	633,7	304,5	105,8	634,5	287,3	163,9	292,7	165,4	squint
310133159	2888645182	Eye Tracker	MN	0,09030	0,08019	-0,99268	-0,00273	0,08028	-0,99677	2,508	2,627	2,589	7,763	6,997	7,380	Valid	Valid	239,6	106,3	633,6	304,6	105,6	634,8	297,2	157,4	302,9	156,7	squint
310141492	2888653515	Eye Tracker	MN	0,07467	0,08855	-0,99327	-0,02064	0,08020	-0,99657	2,565	2,619	2,592	7,792	7,074	7,433	Valid	Valid	239,6	106,3	633,5	304,6	105,6	634,7	287,2	162,7	291,4	156,7	squint
310149826	2888661849	Eye Tracker	MN	0,07779	0,09231	-0,99269	-0,01481	0,08365	-0,99639	2,533	2,627	2,595	7,892	7,322	7,607	Valid	Valid	239,5	106,2	633,5	304,5	105,7	634,4	289,2	165,1	295,1	158,9	squint
310158159	2888670182	Eye Tracker	MN	0,08113	0,09114	-0,99253	-0,01077	0,08333	-0,99646	2,562	2,632	2,595	8,058	7,317	7,688	Valid	Valid	239,5	106,3	633,5	304,5	105,7	634,3	291,3	164,4	297,6	158,8	squint
310166498	2888678521	Eye Tracker	MN	0,07991	0,09189	-0,99256	-0,00771	0,08178	-0,99662	2,568	2,624	2,587	7,922	7,448	7,685	Valid	Valid	239,5	106,2	633,6	304,5	105,7	634,3	290,5	164,9	299,6	157,8	squint
310174831	2888686854	Eye Tracker	MN	0,08117	0,08413	-0,99314	-0,01242	0,08457	-0,99634	2,548	2,641	2,590	7,980	7,474	7,727	Valid	Valid	239,5	106,3	633,6	304,4	105,8	634,4	291,2	160,0	296,5	159,6	squint
310183164	2888695187	Eye Tracker	MN	0,08071	0,08702	-0,99293	-0,01596	0,08411	-0,99633	2,529	2,619	2,581	8,024	7,318	7,671	Valid	Valid	239,4	106,3	633,6	304,4	105,7	634,6	290,9	161,8	294,3	159,3	squint
310191498	2888703521	Eye Tracker	MN	0,07850	0,08674	-0,99313	-0,01724	0,08725	-0,99604	2,534	2,632	2,578	7,998	7,321	7,659	Valid	Valid	239,4	106,3	633,7	304,4	105,7	634,7	289,5	161,7	293,4	161,3	squint
310199831	2888711854	Eye Tracker	MN	0,08387	0,08655	-0,99271	-0,01286	0,08937	-0,99592	2,538	2,620	2,576	8,055	7,240	7,647	Valid	Valid	239,4	106,3	633,7	304,4	105,7	634,7	292,9	161,6	296,2	162,7	squint
310208163	2888720186	Eye Tracker	MN	0,08132	0,08401	-0,99314	-0,01439	0,08856	-0,99597	2,510	2,622	2,580	8,021	7,451	7,736	Valid	Valid	239,4	106,4	633,7	304,4	105,7	634,7	291,3	160,0	295,2	162,2	squint
310216496	2888728519	Eye Tracker	MN	0,08212	0,07918	-0,99347	-0,01461	0,09062	-0,99578	2,496	2,631	2,574	8,060	7,370	7,715	Valid	Valid	239,4	106,3	633,7	304,4	105,7	634,7	291,7	156,9	295,1	163,5	squint
310224829	2888736852	Eye Tracker	MN	0,08197	0,08312	-0,99316	-0,01984	0,08889	-0,99584	2,530	2,654	2,568	8,054	7,489	7,771	Valid	Valid	239,4	106,3	633,7	304,4	105,7	634,7	291,7	159,4	291,8	162,4	squint
310233163	2888745186	Eye Tracker	MN	0,08476	0,08302	-0,99294	-0,01274	0,07712	-0,99694	2,525	2,612	2,573	8,101	7,479	7,790	Valid	Valid	239,4	106,3	633,7	304,4	105,7	634,7	293,5	159,3	296,3	154,8	squint
310241496	2888753519	Eye Tracker	MN	0,08207	0,07914	-0,99348	-0,01954	0,08301	-0,99636	2,513	2,621	2,573	8,056	7,392	7,724	Valid	Valid	239,4	106,3	633,6	304,4	105,7	634,6	291,7	156,8	292,0	158,6	squint
310249830	2888761853	Eye Tracker	MN	0,08243	0,08390	-0,99306	-0,00921	0,07952	-0,99679	2,524	2,609	2,568	8,062	7,392	7,727	Valid	Valid	239,4	106,3	633,6	304,4	105,7	634,4	292,0	159,8	298,6	156,4	squint
310258163	2888770186	Eye Tracker	MN	0,07966	0,08927	-0,99282	-0,01312	0,07920	-0,99677	2,563	2,620	2,565	8,087	7,506	7,796	Valid	Valid	239,4	106,3	633,7	304,4	105,8	634,3	290,3	163,2	296,1	156,2	squint
310266496	2888778519	Eye Tracker	MN	0,07758	0,07484	-0,99417	-0,01003	0,07870	-0,99685	2,485	2,602	2,570	8,153	7,446	7,800	Valid	Valid	239,4	106,3	633,6	304,5	105,8	634,3	288,9	154,0	298,1	155,8	squint
310274830	2888786853	Eye Tracker	MN	0,07939	0,07651	-0,99390	-0,00905	0,07858	-0,99687	2,491	2,617	2,554	8,151	7,367	7,759	Valid	Valid	239,5	106,3	633,6	304,5	105,7	634,3	290,1	155,0	298,7	155,7	squint
310283163	2888795186	Eye Tracker	MN	0,07930	0,07953	-0,99367	-0,00774	0,08328	-0,99650	2,522	2,626	2,547	8,145	7,376	7,760	Valid	Valid	239,5	106,3	633,6	304,5	105,7	634,3	290,0	157,0	299,5	158,8	squint
310291497	2888803520	Eye Tracker	MN	0,07113	0,06564	-0,99530	-0,02672	0,06855	-0,99729	2,482	2,563	2,554	8,079	7,429	7,754	Valid	Valid	239,4	106,2	633,8	304,5	105,7	634,5	284,7	148,0	287,5	149,3	squint
310299834	2888811857	Eye Tracker	MN	0,04944	0,05553	-0,99723	-0,04904	0,04168	-0,99793	2,507	2,534	2,522	7,969	7,371	7,670	Valid	Valid	239,3	106,2	633,6	304,4	105,5	634,6	270,7	141,5	273,2	132,0	squint
310308167	2888820190	Eye Tracker	MN	0,05106	0,05121	-0,99738	-0,05467	0,06945	-0,99609	2,478	2,650	2,506	8,019	7,403	7,711	Valid	Valid	239,3	106,2	633,6	304,3	105,7	634,1	271,7	138,7	269,5	149,9	squint
310316501	2888828524	Eye Tracker	MN	0,05916	0,05808	-0,99656	-0,04567	0,03885	-0,99820	2,473	2,523	2,500	8,152	7,401	7,776	Valid	Valid	239,3	106,1	633,6	304,3	105,6	634,2	276,9	143,0	275,3	130,3	squint
310324834	2888836857	Eye Tracker	MN	0,05633	0,04692	-0,99731	-0,04687	0,04264	-0,99799	2,460	2,512	2,496	8,147	7,509	7,828	Valid	Valid	239,3	106,1	633,6	304,3	105,7	634,1	275,1	135,9	274,5	132,8	squint
310333167	2888845190	Eye Tracker	MN	0,05403	0,05505	-0,99702	-0,04676	0,03793	-0,99819	2,500	2,519	2,490	8,208	7,538	7,873	Valid	Valid	239,3	106,1	633,6	304,3	105,7	634,1	273,6	141,1	274,6	129,8	squint
310341500	2888853523	Eye Tracker	MN	0,05261	0,04949	-0,99739	-0,04795	0,03940	-0,99807	2,461	2,515	2,489	8,113	7,674	7,893	Valid	Valid	239,2	106,1	633,6	304,3	105,6	634,2	272,7	137,5	273,8	130,7	squint
310349834	2888861857	Eye Tracker	MN	0,05149	0,04379	-0,99771	-0,04881	0,05143	-0,99748	2,453	2,576	2,490	8,253	7,583	7,918	Valid	Valid	239,2	106,1	633,6	304,2	105,5	634,4	271,9	133,9	273,2	138,3	squint
310358167	2888870190	Eye Tracker	MN	0,05238	0,03564	-0,99799	-0,04771	0,03402	-0,99828	2,398	2,517	2,485	7,996	7,322	7,659	Valid	Valid	239,2	106,1	633,6	304,2	105,5	634,6	272,4	128,7	273,9	127,1	squint
310366501	2888878524	Eye Tracker	MN	0,05560	0,05574	-0,99690	-0,04618	0,04788	-0,99779	2,497	2,566	2,478	8,232	7,545	7,888	Valid	Valid	239,1	106,1	633,6	304,2	105,4	634,7	274,5	141,5	274,8	135,9	squint
310374833	2888886856	Eye Tracker	MN	0,05692	0,04134	-0,99752	-0,05051	0,04100	-0,99788	2,438	2,514	2,478	8,138	7,442	7,790	Valid	Valid	239,1	106,1	633,5	304,2	105,4	634,8	275,2	132,3	272,1	131,5	squint
310383167	2888895190	Eye Tracker	MN	0,05547	0,03286	-0,99792	-0,04933	0,03668	-0,99811	2,389	2,502	2,493	8,154	7,422	7,788	Valid	Valid	239,1	106,1	633,6	304,1	105,5	634,5	274,3	127,0	272,8	128,9	squint
310391500	2888903523	Eye Tracker	MN	0,05104	0,05101	-0,99739	-0,04698	0,06101	-0,99703	2,460	2,599	2,493	8,159	7,440	7,800	Valid	Valid	239,0	106,2	633,6	304,1	105,7	634,2	271,5	138,6	274,2	144,5	squint
310399834	2888911857	Eye Tracker	MN	0,04810	0,03154	-0,99834	-0,04917	0,04934	-0,99757	2,415	2,548	2,482	7,936	7,491	7,714	Valid	Valid	239,0	106,2	633,7	304,0	105,7	634,4	269,5	126,2	272,8	137,1	squint
310408167	2888920190	Eye Tracker	MN	0,05483	0,04854	-0,99732	-0,04819	0,04798	-0,99769	2,465	2,572	2,486	8,255	7,575	7,915	Valid	Valid	238,9	106,3	633,7	304,0	105,6	634,7	273,8	137,1	273,4	136,1	squint
310416500	2888928523	Eye Tracker	MN	0,05667	0,03466	-0,99779	-0,04657	0,03895	-0,99815	2,401	2,539	2,482	7,811	7,617	7,714	Valid	Valid	238,9	106,3	633,7	304,0	105,6	634,9	274,9	128,3	274,4	130,4	squint
310424833	2888936856	Eye Tracker	MN	0,05268	0,03422	-0,99803	-0,04511	0,03535	-0,99836	2,425	2,522	2,483	8,095	7,396	7,746	Valid	Valid	238,9	106,3	633,7	303,9	105,7	634,7	272,3	128,0	275,3	128,1	squint
310433170	2888945193	Eye Tracker	MN	0,05512	0,03644	-0,99781	-0,04959	0,05436	-0,99729	2,409	2,572	2,482	8,164	7,362	7,763	Valid	Valid	238,8	106,3	633,6	303,9	105,7	634,4	273,8	129,5	272,3	140,3	squint
310441503	2888953526	Eye Tracker	MN	0,04981	0,04316	-0,99783	-0,05084	0,04565	-0,99766	2,430	2,541	2,486	8,068	7,310	7,689	Valid	Valid	238,8	106,3	633,7	303,8	105,7	634,3	270,4	133,7	271,5	134,7	squint
310449836	2888961859	Eye Tracker	MN	0,05217	0,05030	-0,99737	-0,04916	0,04307	-0,99786	2,445	2,523	2,499	7,915	7,475	7,695	Valid	Valid	238,8	106,2	633,7	303,8	105,7	634,2	271,9	138,2	272,6	133,1	squint
310458170	2888970193	Eye Tracker	MN	0,04735	0,05423	-0,99740	-0,05061	0,05592	-0,99715	2,487	2,582	2,493	8,079	7,444	7,762	Valid	Valid	238,8	106,2	633,8	303,8	105,6	634,3	268,8	140,6	271,6	141,2	squint
310466503	2888978526	Eye Tracker	MN	0,05517	0,05325	-0,99706	-0,05038	0,05052	-0,99745	2,462	2,552	2,499	8,214	7,312	7,763	Valid	Valid	238,8	106,2	633,8	303,8	105,6	634,3	273,8	140,0	271,8	137,7	squint
310474835	2888986858	Eye Tracker	MN	0,05041	0,03748	-0,99802	-0,04711	0,04020	-0,99808	2,396	2,521	2,474	8,123	7,383	7,753	Valid	Valid	238,8	106,1	633,8	303,8	105,6	634,2	270,8	129,9	273,9	131,2	squint
310483169	2888995192	Eye Tracker	MN	0,05241	0,03484	-0,99802	-0,04463	0,05339	-0,99758	2,380	2,567	2,469	8,099	7,390	7,744	Valid	Valid	238,8	106,2	633,7	303,8	105,6	634,1	272,1	128,3	275,4	139,6	squint
310491503	2889003526	Eye Tracker	MN	0,04984	0,03358	-0,99819	-0,04658	0,03899	-0,99815	2,382	2,506	2,458	8,165	7,371	7,768	Valid	Valid	238,8	106,2	633,6	303,8	105,6	634,1	270,5	127,5	274,3	130,4	squint
310499836	2889011859	Eye Tracker	MN	0,05463	0,04187	-0,99763	-0,05004	0,03851	-0,99800	2,418	2,541	2,451	8,187	7,336	7,762	Valid	Valid	238,8	106,2	633,5	303,9	105,5	634,4	273,5	132,8	272,1	130,0	squint
310508170	2889020193	Eye Tracker	MN	0,05883	0,04470	-0,99727	-0,04473	0,04030	-0,99819	2,449	2,506	2,451	8,030	7,469	7,750	Valid	Valid	238,9	106,2	633,6	304,0	105,4	634,7	276,2	134,6	275,5	131,0	squint
310516503	2889028526	Eye Tracker	MN	0,05464	0,03902	-0,99774	-0,04953	0,03934	-0,99800	2,397	2,498	2,451	8,101	7,312	7,706	Valid	Valid	238,9	106,1	633,6	304,0	105,5	634,5	273,6	130,9	272,5	130,5	squint
310524836	2889036859	Eye Tracker	MN	0,05294	0,03166	-0,99810	-0,04751	0,03836	-0,99813	2,365	2,482	2,447	8,123	7,402	7,763	Valid	Valid	239,0	106,2	633,5	304,0	105,6	634,2	272,6	126,3	273,8	130,0	squint
310533170	2889045193	Eye Tracker	MN	0,04992	0,03673	-0,99808	-0,04682	0,03591	-0,99826	2,395	2,513	2,434	8,098	7,461	7,780	Valid	Valid	239,0	106,2	633,5	304,1	105,6	634,1	270,7	129,5	274,3	128,4	squint
