Recording timestamp	Computer timestamp	Sensor	Participant name	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Pupil diameter filtered	Eye openness left	Eye openness right	Eye openness filtered	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point left X (DACSmm)	Gaze point left Y (DACSmm)	Gaze point right X (DACSmm)	Gaze point right Y (DACSmm)	Presented Stimulus name
93226722	1892479573	Eye Tracker	RA	0,04880	0,10390	-0,99339	-0,04677	0,08243	-0,99550	2,665	2,520	2,575	7,577	6,958	7,268	Valid	Valid	214,0	87,5	665,8	273,9	85,7	663,8	246,7	157,1	242,7	140,7	slow blinks
93235055	1892487906	Eye Tracker	RA	0,05055	0,08524	-0,99508	-0,04912	0,07988	-0,99559	2,616	2,513	2,572	7,495	6,846	7,170	Valid	Valid	214,0	87,5	665,8	273,9	85,7	663,8	247,8	144,5	241,1	139,0	slow blinks
93243391	1892496242	Eye Tracker	RA	0,04832	0,08872	-0,99488	-0,04315	0,06565	-0,99691	2,632	2,472	2,572	7,588	6,845	7,216	Valid	Valid	214,0	87,5	665,7	273,9	85,7	663,9	246,3	146,9	245,2	129,4	slow blinks
93251724	1892504575	Eye Tracker	RA	0,05065	0,09128	-0,99454	-0,03971	0,07235	-0,99659	2,678	2,498	2,569	7,454	6,880	7,167	Valid	Valid	214,0	87,5	665,7	273,9	85,7	663,9	247,9	148,6	247,4	133,9	slow blinks
93260059	1892512910	Eye Tracker	RA	0,05166	0,08880	-0,99471	-0,03899	0,08844	-0,99532	2,595	2,566	2,562	7,622	6,721	7,172	Valid	Valid	214,0	87,5	665,7	273,9	85,6	664,0	248,6	146,9	247,9	144,6	slow blinks
93268392	1892521243	Eye Tracker	RA	0,04820	0,08562	-0,99516	-0,03844	0,08414	-0,99571	2,625	2,564	2,568	7,579	6,784	7,182	Valid	Valid	214,0	87,5	665,7	273,9	85,6	664,0	246,2	144,8	248,3	141,7	slow blinks
93276723	1892529574	Eye Tracker	RA	0,04947	0,09528	-0,99422	-0,04282	0,07682	-0,99612	2,615	2,489	2,576	7,667	6,817	7,242	Valid	Valid	214,0	87,5	665,7	273,9	85,7	664,0	247,1	151,3	245,4	136,9	slow blinks
93285056	1892537907	Eye Tracker	RA	0,04700	0,10016	-0,99386	-0,03952	0,07892	-0,99610	2,645	2,511	2,568	7,670	6,782	7,226	Valid	Valid	214,0	87,5	665,7	273,9	85,7	663,9	245,5	154,6	247,6	138,3	slow blinks
93293390	1892546241	Eye Tracker	RA	0,04434	0,09190	-0,99478	-0,04519	0,07293	-0,99631	2,593	2,536	2,566	7,477	6,884	7,180	Valid	Valid	214,0	87,5	665,7	273,9	85,7	663,9	243,7	149,0	243,8	134,3	slow blinks
93301723	1892554574	Eye Tracker	RA	0,04885	0,09171	-0,99459				2,623		2,567	7,788	6,854	7,321	Valid	Invalid	214,0	87,5	665,7				246,7	148,9			slow blinks
93310056	1892562907	Eye Tracker	RA	0,05477	0,08923	-0,99450	-0,03901	0,07236	-0,99662	2,622	2,490	2,571	7,533	6,713	7,123	Valid	Valid	214,0	87,5	665,8	273,9	85,7	663,9	250,7	147,2	248,0	133,9	slow blinks
93318390	1892571241	Eye Tracker	RA	0,04613	0,08857	-0,99500	-0,03800	0,08916	-0,99529	2,606	2,544	2,567	7,523	6,851	7,187	Valid	Valid	214,0	87,5	665,8	274,0	85,7	663,9	244,9	146,8	248,6	145,2	slow blinks
93326723	1892579574	Eye Tracker	RA	0,05094	0,08351	-0,99520	-0,04502	0,07489	-0,99618	2,591	2,539	2,573	7,580	6,784	7,182	Valid	Valid	214,0	87,5	665,8	273,9	85,7	663,9	248,1	143,4	243,9	135,6	slow blinks
93335056	1892587907	Eye Tracker	RA	0,04529	0,08912	-0,99499	-0,04113	0,07635	-0,99623	2,624	2,501	2,573	7,525	6,897	7,211	Valid	Valid	214,0	87,5	665,8	274,0	85,7	664,0	244,3	147,1	246,5	136,6	slow blinks
93343390	1892596241	Eye Tracker	RA	0,05142	0,08278	-0,99524	-0,03740	0,09265	-0,99500	2,586	2,578	2,564	7,672	6,845	7,259	Valid	Valid	214,0	87,5	665,8	273,9	85,7	663,9	248,4	142,9	249,0	147,5	slow blinks
93351723	1892604574	Eye Tracker	RA	0,04292	0,09102	-0,99492	-0,04620	0,07805	-0,99588	2,615	2,504	2,560	7,830	6,779	7,304	Valid	Valid	214,0	87,5	665,8	273,9	85,7	663,9	242,7	148,4	243,1	137,7	slow blinks
93360056	1892612907	Eye Tracker	RA	0,05003	0,08007	-0,99553	-0,04067	0,08117	-0,99587	2,594	2,533	2,574	7,459	6,927	7,193	Valid	Valid	214,0	87,5	665,8	273,9	85,7	664,0	247,5	141,1	246,8	139,8	slow blinks
93368390	1892621241	Eye Tracker	RA	0,04392	0,09154	-0,99483	-0,04484	0,06978	-0,99655	2,646	2,477	2,579	7,550	6,867	7,208	Valid	Valid	214,0	87,5	665,8	273,9	85,7	663,9	243,4	148,8	244,1	132,2	slow blinks
93376723	1892629574	Eye Tracker	RA	0,04601	0,08620	-0,99521	-0,04498	0,08892	-0,99502	2,625	2,565	2,579	7,765	6,927	7,346	Valid	Valid	214,0	87,5	665,8	273,9	85,7	664,0	244,8	145,2	243,9	145,0	slow blinks
93385063	1892637914	Eye Tracker	RA	0,04669	0,08372	-0,99539	-0,04299	0,09546	-0,99450	2,635	2,591	2,576	7,548	6,853	7,200	Valid	Valid	214,0	87,5	665,8	273,9	85,7	663,9	245,2	143,5	245,2	149,4	slow blinks
93393394	1892646245	Eye Tracker	RA	0,04789	0,08264	-0,99543	-0,04230	0,08550	-0,99544	2,619	2,527	2,576	7,531	7,001	7,266	Valid	Valid	214,0	87,5	665,7	273,9	85,7	664,0	246,0	142,8	245,7	142,7	slow blinks
93401728	1892654579	Eye Tracker	RA	0,05473	0,08787	-0,99463	-0,03687	0,07410	-0,99657	2,625	2,500	2,580	7,525	6,939	7,232	Valid	Valid	214,0	87,5	665,8	273,9	85,7	664,0	250,6	146,3	249,4	135,0	slow blinks
93410061	1892662912	Eye Tracker	RA	0,04046	0,08621	-0,99546	-0,04271	0,08767	-0,99523	2,644	2,526	2,580	7,535	6,937	7,236	Valid	Valid	214,0	87,5	665,8	273,9	85,6	664,0	241,1	145,1	245,4	144,1	slow blinks
