Recording timestamp	Computer timestamp	Sensor	Participant name	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Pupil diameter filtered	Eye openness left	Eye openness right	Eye openness filtered	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point left X (DACSmm)	Gaze point left Y (DACSmm)	Gaze point right X (DACSmm)	Gaze point right Y (DACSmm)	Presented Stimulus name
226721566	2025974417	Eye Tracker	RA	0,07080	0,08331	-0,99401	-0,00899	0,09143	-0,99577	2,523	2,426	2,470	6,926	6,563	6,745	Valid	Valid	217,1	89,4	666,6	277,1	88,0	665,3	264,6	145,3	271,1	149,1	very long blinks
226729899	2025982750	Eye Tracker	RA	0,08239	0,09209	-0,99234	-0,01127	0,08646	-0,99619	2,518	2,379	2,470	7,015	6,727	6,871	Valid	Valid	217,1	89,4	666,6	277,1	88,0	665,3	272,5	151,2	269,5	145,7	very long blinks
226738233	2025991084	Eye Tracker	RA	0,07561	0,09420	-0,99268	-0,00855	0,09468	-0,99547	2,536	2,404	2,470	7,062	6,688	6,875	Valid	Valid	217,1	89,4	666,7	277,1	88,0	665,3	267,9	152,6	271,3	151,2	very long blinks
226746566	2025999417	Eye Tracker	RA	0,07484	0,09950	-0,99222	-0,00898	0,08073	-0,99670	2,555	2,355	2,470	7,018	6,679	6,849	Valid	Valid	217,1	89,3	666,7	277,1	88,0	665,3	267,4	156,2	271,1	141,9	very long blinks
226754899	2026007750	Eye Tracker	RA	0,08422	0,10746	-0,99064	-0,01027	0,10442	-0,99448	2,575	2,453	2,474	7,066	6,519	6,793	Valid	Valid	217,1	89,3	666,7	277,0	88,0	665,3	273,8	161,7	270,2	157,8	very long blinks
226763233	2026016084	Eye Tracker	RA	0,08183	0,08878	-0,99268	-0,01611	0,09404	-0,99544	2,496	2,405	2,453	6,999	6,557	6,778	Valid	Valid	217,1	89,3	666,8	277,0	88,0	665,3	272,0	149,0	266,3	150,8	very long blinks
226771566	2026024417	Eye Tracker	RA	0,08343	0,10217	-0,99126	-0,00688	0,08397	-0,99644	2,543	2,357	2,453	7,079	6,534	6,807	Valid	Valid	217,1	89,4	666,7	277,0	88,0	665,3	273,2	158,1	272,4	144,0	very long blinks
226779899	2026032750	Eye Tracker	RA	0,08403	0,09175	-0,99223	-0,01379	0,08370	-0,99640	2,544	2,362	2,442	7,025	6,597	6,811	Valid	Valid	217,0	89,4	666,6	277,0	88,0	665,2	273,5	151,0	267,8	143,9	very long blinks
226788233	2026041084	Eye Tracker	RA	0,08877	0,09395	-0,99161	-0,01131	0,07787	-0,99690	2,527	2,332	2,442	7,133	6,659	6,896	Valid	Valid	217,0	89,4	666,5	277,0	88,0	665,3	276,7	152,6	269,4	139,9	very long blinks
226796566	2026049417	Eye Tracker	RA	0,07838	0,09165	-0,99270	-0,01437	0,07589	-0,99701	2,523	2,331	2,444	6,996	6,599	6,797	Valid	Valid	217,0	89,5	666,5	277,0	88,0	665,3	269,6	151,0	267,4	138,6	very long blinks
226804899	2026057750	Eye Tracker	RA	0,08551	0,09765	-0,99154	-0,01236	0,08385	-0,99640	2,526	2,381	2,444	6,988	6,392	6,690	Valid	Valid	217,0	89,4	666,5	276,9	88,0	665,3	274,4	155,1	268,7	144,0	very long blinks
